date,open,high,low,close,volume,adj_close
2010-04-22,13.8138,13.8263,13.5973,13.6902,131096772,13.5699
2010-04-23,13.6949,13.7467,13.5703,13.6384,83492424,13.5185
2010-04-26,13.6379,13.6384,13.2435,13.3043,174577248,13.1874
2010-04-27,13.2370,13.4717,13.1939,13.2397,153634212,13.1234
2010-04-28,13.3158,13.3841,13.0388,13.2430,136107756,13.1266
2010-04-29,13.3476,13.4259,13.1799,13.3133,122233644,13.1963
2010-04-30,13.2915,13.4555,13.1491,13.1557,97318584,13.0400
2010-05-03,13.1757,13.3363,13.1401,13.2783,74237688,13.1616
2010-05-04,13.1762,13.1817,12.6179,12.6719,242808948,12.5605
2010-05-05,12.5370,12.9059,12.5243,12.7568,183104712,12.6446
2010-05-06,12.7315,12.9510,11.5115,12.4792,199803996,12.3695
2010-05-07,12.5118,12.6456,12.0453,12.3408,203356440,12.2324
2010-05-10,12.8621,13.0836,12.8278,13.0543,164954880,12.9396
2010-05-11,12.9047,13.0100,12.7182,12.7390,132771096,12.6270
2010-05-12,12.8138,12.8138,12.5626,12.6474,153917928,12.5362
2010-05-13,12.9254,13.0631,12.7720,12.7848,132898968,12.6724
2010-05-14,12.7570,12.7875,12.4187,12.7010,164475360,12.5893
2010-05-17,12.6822,12.7217,12.4712,12.7120,111640248,12.6002
2010-05-18,12.7628,12.7870,12.4392,12.4717,112906980,12.3621
2010-05-19,12.4189,12.4985,12.2057,12.3731,137690172,12.2644
2010-05-20,12.1389,12.1517,11.8569,11.8871,196335468,11.7827
2010-05-21,11.7382,12.1371,11.6216,11.8131,387244368,11.7092
2010-05-24,12.0303,12.2570,11.9319,11.9409,173650176,11.8360
2010-05-25,11.7155,11.9482,11.6119,11.9387,120575304,11.8338
2010-05-26,12.0638,12.2563,11.8869,11.8986,138884976,11.7941
2010-05-27,12.1359,12.3201,12.0383,12.2738,112251636,12.1659
2010-05-28,12.3308,12.3486,12.0871,12.1529,115676208,12.0461
2010-06-01,12.0228,12.2888,12.0150,12.0713,106565328,11.9652
2010-06-02,12.1792,12.3591,12.0485,12.3466,101530368,12.2381
2010-06-03,12.3901,12.7127,12.3799,12.6527,145881972,12.5414
2010-06-04,12.5055,12.7440,12.4299,12.4805,156655188,12.3708
2010-06-07,12.4890,12.5353,12.0908,12.1502,145162692,12.0434
2010-06-08,12.2085,12.2332,11.9504,12.1316,107296596,12.0250
2010-06-09,12.1927,12.2342,11.8118,11.8624,109050840,11.7581
2010-06-10,12.0213,12.2247,11.9079,12.1874,103012884,12.0803
2010-06-11,12.0746,12.2300,12.0526,12.2247,71196732,12.1173
2010-06-14,12.3744,12.3749,12.0918,12.0918,81534384,11.9856
2010-06-15,12.0891,12.5225,12.0666,12.4622,170213616,12.3527
2010-06-16,12.4167,12.6126,12.4152,12.5443,91480428,12.4340
2010-06-17,12.5988,12.6594,12.4297,12.5145,79012908,12.4045
2010-06-18,12.5753,12.5993,12.4657,12.5133,114801084,12.4033
2010-06-21,12.5100,12.5368,12.1344,12.2262,119220660,12.1188
2010-06-22,12.2598,12.4274,12.1554,12.1684,88699212,12.0615
2010-06-23,12.1844,12.1844,11.9660,12.0633,81082836,11.9573
2010-06-24,12.0035,12.0808,11.8433,11.8894,75668256,11.7849
2010-06-25,11.9384,11.9532,11.7758,11.8288,89718192,11.7249
2010-06-28,11.8266,11.9507,11.7370,11.8138,70421508,11.7100
2010-06-29,11.5976,11.6254,11.2893,11.3679,139943916,11.2680
2010-06-30,11.3854,11.4572,11.1291,11.1349,143983872,11.0370
2010-07-01,11.1434,11.2212,10.8516,10.9982,140403456,10.9016
2010-07-02,11.0516,11.0681,10.9109,10.9247,77362560,10.8287
2010-07-06,11.1111,11.2030,10.8516,10.9127,102301596,10.8167
2010-07-07,10.9687,11.2935,10.8954,11.2663,125062812,11.1672
2010-07-08,11.3501,11.4447,11.2528,11.4254,106649244,11.3250
2010-07-09,11.8108,11.8433,11.5811,11.6989,173086740,11.5961
2010-07-12,11.8211,11.9980,11.7888,11.9077,133242624,11.8030
2010-07-13,12.0683,12.3371,12.0190,12.2422,158892948,12.1346
2010-07-14,12.2593,12.3581,12.1737,12.2958,124595280,12.1877
2010-07-15,12.3056,12.3799,12.0791,12.3629,194133672,12.2542
2010-07-16,11.7397,11.7758,11.4995,11.5018,312679008,11.4007
2010-07-19,11.5368,11.7530,11.4494,11.6662,181829988,11.5636
2010-07-20,11.5373,12.0868,11.5265,12.0518,162017820,11.9459
2010-07-21,12.1121,12.1547,11.8976,11.9494,131052816,11.8444
2010-07-22,12.0928,12.2367,12.0741,12.1324,85822092,12.0257
2010-07-23,12.0313,12.2770,12.0123,12.2638,90485424,12.1560
2010-07-26,12.2395,12.2810,12.1341,12.2365,79728192,12.1289
2010-07-27,12.2768,12.4500,12.2665,12.3281,97949952,12.2197
2010-07-28,12.3859,12.3936,12.0788,12.1209,99740160,12.0143
2010-07-29,12.1609,12.2342,11.9952,12.1369,106912980,12.0302
2010-07-30,12.0033,12.1962,11.9905,12.1334,85678236,12.0267
2010-08-02,12.2370,12.3443,12.1857,12.2725,74273652,12.1647
2010-08-03,12.2748,12.3238,12.1812,12.2580,72019908,12.1503
2010-08-04,12.3168,12.6877,12.2885,12.6707,152347500,12.5593
